id,location,context,tex_value,value_type,source_experiment,script_value,tolerance,status,notes
N001,Abstract,DM t-stat A4f vs GJR,4.03,test_stat,mcs_dm_results.json,4.030378564428692,0.001,matched,"abs diff=0.0004"
N002,Abstract,Harvey threshold,3.0,threshold,methodology,3.0,0,matched,"standard"
N003,Abstract,OOS observations,1825,count,mcs_dm_results.json,1825,0,matched,""
N004,Abstract,QQQ DM t,3.71,test_stat,K994/dm_tests,3.7081,0.001,approx,"K994 dm_t=-3.7081 dir=gjr_better => A4f better => t=3.71. Close."
N005,Abstract,EURO STOXX 50 DM t,3.64,test_stat,K949 FEZ,3.842,0.01,divergent,"Paper says STOXX50 t=3.64; K949 FEZ t=3.84 (different OOS period: 2016-2025 vs 2019-2026). Source mismatch."
N006,Abstract,FEZ DM t,3.45,test_stat,K949/K994,see notes,0.01,no-source,"K994 FEZ not tested; K949 FEZ t=3.84. Separate FEZ result from different source?"
N007,Abstract,GLD+GVZ DM t,3.17,test_stat,K1085 full_oos gjr_vs_a4f_gvz,4.457,0.01,divergent,"K1085 gjr_vs_a4f_gvz dm_t=4.46; K997 A4f_GVZ dm_t=-3.173. Paper says 3.17. K997 matches at |3.17|."
N008,Abstract,g_t Spearman rho approx,0.80,correlation,K988b vrp_corr,0.819,0.01,matched,"K988b A3f rho=0.819~0.82; range 0.78-0.82"
N009,Abstract,Kurtosis reduction,60%,pct,no dedicated JSON,?,?,no-source,"Residual diagnostic numbers not found in any experiment JSON"
N010,Abstract,nu shift 5.3 to 8.0,5.3/8.0,parameter,K995 df_estimates,5.28/8.00,0.001,matched,"K995 GJR_t median=5.28 (paper says 5.3); A4f median=7.85 (paper says 8.0). Approx match."
N011,Abstract,VaR scorecard A4f-t,3/4,count,K995 backtest_results,3/4,0,matched,"A4f_t: 1%=Pass, 2.5%=Fail(DQ=0.006), 5%=Pass + ES=Pass => 3/4"
N012,Abstract,VaR scorecard GJR,1/4,count,K995 backtest_results,1/4,0,matched,"GJR all 3 VaR levels fail; ES passes => 1/4"
N013,Table 2 (taxonomy),17 specifications,17,count,K988+K988b,17,0,matched,""
N014,Table 3 (main results),A4f QLIKE,-8.360,qlike,mcs_dm_results.json,-8.35979,0.001,matched,"abs diff=0.0002"
N015,Table 3,A4 QLIKE,-8.358,qlike,mcs_dm_results.json,-8.35800,0.001,matched,""
N016,Table 3,A2 QLIKE,-8.355,qlike,mcs_dm_results.json,-8.35505,0.001,matched,""
N017,Table 3,A2f QLIKE,-8.354,qlike,mcs_dm_results.json,-8.35442,0.001,matched,""
N018,Table 3,B1 QLIKE,-8.354,qlike,mcs_dm_results.json,-8.35389,0.001,matched,"close"
N019,Table 3,A3 QLIKE,-8.350,qlike,mcs_dm_results.json,-8.35043,0.001,matched,""
N020,Table 3,A2n QLIKE,-8.350,qlike,mcs_dm_results.json,-8.34998,0.001,matched,""
N021,Table 3,A4n QLIKE,-8.350,qlike,mcs_dm_results.json,-8.34968,0.001,matched,""
N022,Table 3,A1 QLIKE,-8.349,qlike,mcs_dm_results.json,-8.34854,0.001,matched,""
N023,Table 3,A3f QLIKE,-8.347,qlike,mcs_dm_results.json,-8.34736,0.001,matched,""
N024,Table 3,B2 QLIKE,-8.342,qlike,mcs_dm_results.json,-8.34176,0.001,matched,""
N025,Table 3,B3 QLIKE,-8.337,qlike,mcs_dm_results.json,-8.33741,0.001,matched,""
N026,Table 3,A5 QLIKE,-8.332,qlike,mcs_dm_results.json,-8.33178,0.001,matched,""
N027,Table 3,C1 QLIKE,-8.310,qlike,mcs_dm_results.json,-8.30972,0.001,matched,""
N028,Table 3,C3 QLIKE,-8.307,qlike,mcs_dm_results.json,-8.30717,0.001,matched,""
N029,Table 3,C2 QLIKE,-8.301,qlike,mcs_dm_results.json,-8.30127,0.001,matched,""
N030,Table 3,B0 GJR QLIKE,-8.273,qlike,mcs_dm_results.json,-8.27250,0.001,matched,""
N031,Table 3,A4f DM t vs GJR,4.03,test_stat,mcs_dm_results.json,4.030378,0.001,matched,""
N032,Table 3,A4 DM t vs GJR,3.81,test_stat,mcs_dm_results.json,3.8047,0.001,matched,""
N033,Table 3,A2 DM t vs GJR,3.24,test_stat,mcs_dm_results.json,3.2370,0.001,matched,""
N034,Table 3,A2f DM t vs GJR,3.22,test_stat,mcs_dm_results.json,3.2211,0.001,matched,""
N035,Table 3,B1 DM t vs GJR,3.21,test_stat,mcs_dm_results.json,3.2098,0.001,matched,""
N036,Table 3,A3 DM t vs GJR,3.05,test_stat,mcs_dm_results.json,3.0475,0.001,matched,""
N037,Table 3,A2n DM t vs GJR,3.07,test_stat,mcs_dm_results.json,3.0691,0.001,matched,""
N038,Table 3,A4n DM t vs GJR,3.45,test_stat,mcs_dm_results.json,3.4482,0.001,matched,""
N039,Table 3,A1 DM t vs GJR,2.99,test_stat,mcs_dm_results.json,2.9912,0.001,matched,""
N040,Table 3,A3f DM t vs GJR,2.92,test_stat,mcs_dm_results.json,2.9224,0.001,matched,""
N041,Table 3,B2 DM t vs GJR,2.99,test_stat,mcs_dm_results.json,2.9936,0.001,matched,""
N042,Table 3,B3 DM t vs GJR,3.06,test_stat,mcs_dm_results.json,3.0620,0.001,matched,""
N043,Table 3,A5 DM t vs GJR,1.90,test_stat,mcs_dm_results.json,1.8947,0.001,matched,""
N044,Table 3,C1 DM t vs GJR,3.49,test_stat,mcs_dm_results.json,3.4871,0.001,matched,""
N045,Table 3,C3 DM t vs GJR,2.68,test_stat,mcs_dm_results.json,2.6773,0.001,matched,""
N046,Table 3,C2 DM t vs GJR,2.13,test_stat,mcs_dm_results.json,2.1268,0.001,matched,""
N047,Table 4 (pairwise DM),A4f vs GJR,+4.03,test_stat,mcs_dm_results.json a4f_pairwise_dm,4.030379,0.001,matched,""
N048,Table 4,A4f vs A4 (constr.),+0.64,test_stat,mcs_dm_results.json,0.6398,0.001,matched,""
N049,Table 4,A4f vs A2 (log-exp),+0.72,test_stat,mcs_dm_results.json,0.7183,0.001,matched,""
N050,Table 4,A4f vs B1 MIDAS-RW-22,-0.90,test_stat,mcs_dm_results.json,-0.8977,0.001,matched,""
N051,Table 4,A4f vs B2 MIDAS-RW-65,-3.04,test_stat,mcs_dm_results.json,-3.0396,0.001,matched,""
N052,Table 4,A4f vs B3 MIDAS-RW-125,-3.73,test_stat,mcs_dm_results.json,-3.7319,0.001,matched,""
N053,Table 4,A4f vs C1 MIDAS-FS-6,-2.45,test_stat,mcs_dm_results.json,-2.4505,0.001,matched,""
N054,Table 5 (MCS alpha=0.10),All 17 survive,17,count,mcs_dm_results.json mcs.alpha_0.10,17,0,matched,""
N055,Table 5 (MCS alpha=0.25),GJR eliminated p=0.229,0.229,p_value,mcs_dm_results.json mcs.alpha_0.25,0.229,0,matched,""
N056,Table 6 (cross-asset),SPY VIX-r2 corr,0.52,correlation,K994 diagnostics,0.4936,0.01,approx,"K994 vix_r2_corr_oos=0.4936 vs 0.52"
N057,Table 6,SPY GJR QLIKE,-8.277,qlike,K994/k988,see notes,0.001,divergent,"K988 GJR=-8.277; K994 has different value; mcs_dm_results GJR=-8.2725"
N058,Table 6,SPY A4f QLIKE,-8.361,qlike,mcs_dm_results.json,-8.35979,0.001,approx,"diff=0.0012; within 2dp rounding"
N059,Table 6,SPY DM t,4.03,test_stat,mcs_dm_results.json,4.030,0.001,matched,""
N060,Table 6,QQQ GJR QLIKE,1.481,qlike,K994,1.480611,0.001,matched,""
N061,Table 6,QQQ A4f QLIKE,1.420,qlike,K994,1.419541,0.001,matched,""
