event_date,recipient,ticker_primary,type,amount_usd_billion,source_note
2024-02-19,GlobalFoundries,GFS,award,1.5,commerce.gov CHIPS announcement
2024-03-20,Intel,INTC,award,8.5,commerce.gov CHIPS preliminary memorandum
2024-04-08,TSMC Arizona,TSM,award,6.6,commerce.gov CHIPS preliminary memorandum
2024-04-25,Samsung Texas,SSNLF,award,6.4,commerce.gov CHIPS preliminary memorandum
2024-04-26,Micron,MU,award,6.1,commerce.gov CHIPS preliminary memorandum
2024-08-26,SK hynix,N/A,award,0.45,commerce.gov CHIPS preliminary memorandum
2024-09-16,Polar Semiconductor,N/A,award,0.123,commerce.gov CHIPS preliminary memorandum
2024-10-15,Wolfspeed,WOLF,award,0.75,commerce.gov CHIPS preliminary memorandum
2024-11-15,TSMC Arizona,TSM,award_final,6.6,commerce.gov CHIPS final award (vs prior preliminary)
2024-11-26,GlobalFoundries,GFS,award_final,1.5,commerce.gov CHIPS final award
2024-12-03,Micron,MU,award_final,6.1,commerce.gov CHIPS final award
2024-12-10,Samsung Texas,SSNLF,award_final,4.745,commerce.gov CHIPS final award (downsized from 6.4)
2024-12-13,SK hynix,N/A,award_final,0.458,commerce.gov CHIPS final award
2025-01-15,Intel,INTC,award_final,7.86,commerce.gov CHIPS final award (downsized from 8.5)
2025-02-14,Wolfspeed,WOLF,delay,0.0,Wolfspeed announces CHIPS funding delay disclosure
2025-03-07,Intel,INTC,delay,0.0,Trump admin signals CHIPS Act renegotiation Intel deal
2025-08-22,Intel,INTC,equity_swap,8.9,Trump admin converts INTC CHIPS grant to 10% equity stake announcement
